0,300
3.8629e-06,300
2.3178e-05,300
0.00011975,300
0.00060262,300
0.003017,300
0.015089,299.99
0.05,299.95
0.1,299.86
0.15,299.9
0.2,299.94
0.25,299.94
0.3,299.88
0.35,299.77
0.4,299.63
0.45,299.51
0.5,299.41
0.55,299.23
0.6,299.01
0.65,298.84
0.7,298.63
0.75,298.28
0.8,297.84
0.85,297.41
0.9,296.92
0.95,296.34
1,295.72
1.05,295.17
1.1,294.69
1.15,294.22
1.2,293.86
1.25,293.55
1.3,293.28
1.35,293.11
1.4,292.96
1.45,292.74
1.5,292.52
1.55,292.34
1.6,292.19
1.65,292.03
1.7,291.89
1.75,291.83
1.8,291.84
1.85,291.92
1.9,292.1
1.95,292.3
2,292.53
2.05,292.83
2.1,293.1
2.15,293.34
2.2,293.57
2.25,293.81
2.3,294.09
2.35,294.35
2.4,294.6
2.45,294.88
2.5,295.13
2.55,295.29
2.6,295.41
2.65,295.49
2.7,295.53
2.75,295.5
2.8,295.41
2.85,295.29
2.9,295.12
2.95,294.97
3,294.85
3.05,294.7
3.1,294.59
3.15,294.51
3.2,294.41
3.25,294.28
3.3,294.08
3.35,293.94
3.4,293.84
3.45,293.72
3.5,293.69
3.55,293.79
3.6,293.97
3.65,294.16
3.7,294.35
3.75,294.57
3.8,294.79
3.85,294.98
3.9,295.16
3.95,295.29
4,295.35
4.05,295.37
4.1,295.29
4.15,295.12
4.2,294.88
4.25,294.63
4.3,294.4
4.35,294.17
4.4,293.99
4.45,293.87
4.5,293.77
4.55,293.73
4.6,293.71
4.65,293.7
4.7,293.73
4.75,293.76
4.8,293.81
4.85,293.81
4.9,293.74
4.95,293.75
5,293.79
5.05,293.79
5.1,293.89
5.15,294.05
5.2,294.25
5.25,294.49
5.3,294.68
5.35,294.82
5.4,294.91
5.45,294.94
5.5,294.93
5.55,294.97
5.6,295.03
5.65,295.11
5.7,295.26
5.75,295.43
5.8,295.64
5.85,295.83
5.9,295.96
5.95,296.04
6,296.03
6.05,295.94
6.1,295.82
6.15,295.61
6.2,295.38
6.25,295.19
6.3,295
6.35,294.82
6.4,294.67
6.45,294.56
6.5,294.51
6.55,294.53
6.6,294.62
6.65,294.74
6.7,294.89
6.75,295.05
6.8,295.2
6.85,295.4
6.9,295.61
6.95,295.76
7,295.91
7.05,296.05
7.1,296.15
7.15,296.21
7.2,296.22
7.25,296.13
7.3,295.99
7.35,295.83
7.4,295.66
7.45,295.38
7.5,295.02
7.55,294.64
7.6,294.19
7.65,293.73
7.7,293.3
7.75,292.84
7.8,292.45
7.85,292.26
7.9,292.2
7.95,292.13
8,292.1
8.05,292.16
8.1,292.2
8.15,292.18
8.2,292.1
8.25,291.96
8.3,291.75
8.35,291.45
8.4,291.05
8.45,290.63
8.5,290.17
8.55,289.65
8.6,289.15
8.65,288.66
8.7,288.19
8.75,287.74
8.8,287.27
8.85,286.85
8.9,286.46
8.95,286.07
9,285.75
9.05,285.51
9.1,285.34
9.15,285.32
9.2,285.42
9.25,285.48
9.3,285.59
9.35,285.86
9.4,286.17
9.45,286.37
9.5,286.53
9.55,286.74
9.6,286.95
9.65,287.06
9.7,287.14
9.75,287.2
9.8,287.22
9.85,287.21
9.9,287.17
9.95,287.05
10,286.91
